wa_inventory_id,generic_strain_id,first_rtl_sale,latest_rtl_sale,wholesale_cogs,ttl_rtl_sales,units_sold
6033356330005728,17,2015-06-30,2015-06-30,90.00,262.80,36
6033356330005729,17,2015-06-26,2015-06-26,2.00,2.01,2
6033356330005737,17,2015-06-26,2015-07-19,432.00,1127.90,55
6033356330005738,17,2015-06-28,2015-07-19,936.00,2273.40,119
6033356330005736,17,2015-06-27,2015-07-19,936.00,2257.70,116
6033502280001394,17,2015-06-25,2015-07-01,93.24,277.94,28
6033356330005739,17,2015-06-26,2015-06-26,2.00,6.00,2
6033502280001395,17,2015-06-26,2015-07-02,93.24,242.84,14
6033502280001420,17,2015-06-27,2015-08-20,832.50,1931.51,250
6033466510001908,17,2015-07-01,2015-07-08,300.00,861.04,50
6033356330006198,17,2015-07-27,2015-08-14,420.00,718.00,6
6033466510001919,17,2015-07-03,2016-01-05,465.12,1366.02,156
6033466510001929,17,2015-07-07,2015-07-17,600.00,1534.07,200
6033356330005971,17,2015-07-08,2015-07-20,266.00,732.44,76
6033356330005977,17,2015-07-08,2015-07-08,2.00,1.38,2
6026621400000296,17,2015-07-08,2015-07-13,8.00,20.76,4
6033356330006187,17,2015-08-19,2015-12-05,84.00,460.08,5
6033356330006187,17,2015-08-19,2015-12-05,301.00,460.08,5
6026621400000664,17,2015-11-01,2016-03-05,532.00,1216.24,133
6026621400000679,17,2015-11-01,2016-01-28,252.00,522.85,63
6033466510001959,17,2015-07-20,2015-08-09,600.00,1730.37,200
6033215040007207,17,2015-07-25,2015-12-03,1800.00,2186.62,141
6033356330006407,17,2015-09-01,2015-09-04,12.00,25.40,2
6033356330006315,17,2015-08-19,2015-09-11,288.00,822.26,51
6033356330006335,17,2015-09-05,2015-09-21,72.00,202.49,12
6033356330006383,17,2015-09-02,2015-09-21,24.00,51.48,3
6033356330006689,17,2015-08-13,2015-10-04,128.00,385.92,16
6033466510001980,17,2015-08-01,2015-08-17,432.00,1232.63,144
6033484270019443,17,2015-10-30,2015-11-06,596.00,1366.64,200
