wa_inventory_id,generic_strain_id,wholesale_date,latest_rtl_sale,wholesale_cogs,ttl_retail_sales,units_sold
6033240110004879,18,2015-06-03,2015-07-02,337.50,1073.68,74
6033240110004873,18,2015-06-03,2015-11-20,7.00,5.30,7
6033240110004881,18,2015-06-03,2015-06-29,400.00,1532.40,26
6033240110004882,18,2015-06-03,2015-07-21,7.00,12.77,7
6033240110004868,18,2015-06-03,2015-08-21,225.00,660.00,50
6033240110004880,18,2015-06-03,2015-07-01,425.00,1431.00,48
6033240110004867,18,2015-06-03,2015-10-28,400.00,936.75,25
6033841480001088,18,2015-06-05,2015-07-07,323.75,1035.13,37
6033841480001089,18,2015-06-05,2015-06-21,105.00,348.00,6
6034112450000565,18,2015-06-07,2015-07-21,5.00,2.74,2
6034112450000544,18,2015-06-07,2015-07-15,482.12,1030.40,16
6034112450000543,18,2015-06-07,2015-07-15,787.50,1840.00,50
6033240110005119,18,2015-06-11,2015-07-01,7.00,7.00,7
6033240110005116,18,2015-06-11,2015-08-24,112.50,260.30,25
6033240110005118,18,2015-06-11,2015-07-17,160.00,298.19,10
6033240110005117,18,2015-06-11,2015-08-28,212.50,426.29,25
6033240110005147,18,2015-06-15,2015-06-30,150.00,454.67,25
6033465220001114,18,2015-06-18,2015-08-14,387.60,541.58,19
6033240110005275,18,2015-06-22,2015-07-10,180.00,414.32,30
6033248100001416,18,2015-06-23,2015-07-20,918.75,1952.34,74
6033564380000379,18,2015-06-23,2015-07-15,90.00,188.62,1
6033248100001415,18,2015-06-23,2015-06-29,525.00,1346.51,149
6033564380000378,18,2015-06-23,2015-07-07,24.50,51.44,1
6033465220001399,18,2015-06-26,2015-09-06,39.00,80.94,12
6033248100001439,18,2015-06-29,2015-07-14,56.25,186.77,25
6033248100001440,18,2015-06-29,2015-07-07,39.40,101.28,5
6033240110005465,18,2015-06-29,2015-07-29,70.00,120.46,1
6033240110005464,18,2015-06-29,2015-07-12,70.00,143.26,2
6033240110005450,18,2015-06-29,2015-08-21,60.00,175.40,11
6033240110005463,18,2015-06-29,2015-08-05,165.00,427.71,30
6032939160001332,18,2015-06-30,2015-07-08,90.00,260.24,30
6033248100001475,18,2015-06-30,2015-07-07,343.75,853.50,125
6032939160001335,18,2015-06-30,2015-07-08,42.00,124.08,2
6033240110005502,18,2015-06-30,2015-07-08,150.00,337.24,25
6032939160001334,18,2015-06-30,2015-07-11,240.00,715.50,20
6032939160001336,18,2015-06-30,2015-07-06,35.00,116.79,1
6032939160001333,18,2015-06-30,2015-07-10,150.00,450.21,27
6032939160001337,18,2015-06-30,2015-07-08,70.00,229.93,1
6033248100001477,18,2015-06-30,2015-07-10,475.00,1194.50,50
6033387250001282,18,2015-07-01,2015-07-10,40.00,102.97,10
6033248100001510,18,2015-07-07,2015-07-28,200.00,509.45,102
6033248100001540,18,2015-07-08,2015-08-09,352.50,907.09,95
6033248100001557,18,2015-07-09,2015-07-20,440.00,955.60,40
6033248100001556,18,2015-07-09,2015-07-16,275.00,687.68,101
6032939160001382,18,2015-07-11,2015-08-05,1120.00,2150.12,16
6032939160001383,18,2015-07-11,2015-07-15,500.00,1308.43,100
