Zip,First city,First county,First Region,Avg Monthly Wholesales in period,Avg Monthly Retail Sales in Period 2,Population,Per Capita Retail Sales,Total Sales,MedianAge,HouseHolder15to24,HouseHolder25to34,HouseHolder35to44,HouseHolder45to54,HouseHolder55to59,HouseHolder60to64,HouseHolder65to74,HouseHolder75to84,Households,HouseHolder85over,Households2Person,Households3Person,Households4Person,Households5Person,Households6Person,Households7PlusPerson,HouseholdsWith60Plus,HouseholdsWith75Plus,HusbandWifeHouseholds,MedianAgeFemale,MedianAgeMale,NonFamilyHouseholds,PopulationAmerindian,PopulationFemale,PopulationMale,PopulationRaceAsian,PopulationRaceBlack,PopulationRaceLatino,PopulationRaceMulti,PopulationRaceOther,PopulationRacePacific,PopulationRaceWhite,SingleFatherHousehold,SingleMotherHousehold,Total Units,Total Wholesale Price,PPs,Retailers
98445,Elma,Grays Harbor,Southern Olympics,$29780,$42987.97,29661,$1.00,$601832,34.6,551,1928,1992,2372,961,892,1070,802,10722,164,5241,2469,1549,783,386,290,3350,1142,5285,35.5,33.5,3127,0.012103435,15233,14428,0.090994909,0.099389771,0.094770911,0.074677186,0.001517144,0.031320589,0.595226054,597,1713,60122,$416920,48,1
98466,University Place,Pierce,Greater Tacoma,,,26944,,,38.7,584,1847,1910,2272,1089,943,1286,988,11350,270,6659,2483,1401,508,195,104,3931,1557,4988,40.3,36.3,4187,0.007608373,14375,12569,0.055967933,0.084026128,0.065246437,0.0683269,0.001595903,0.008090855,0.70913747,497,1678,,,,2
98499,Lakewood,Pierce,Greater Tacoma,$486,$663.90,29750,$0.02,$2656,33.8,1160,2408,1973,2474,1055,932,1173,850,12450,268,7205,2679,1392,676,291,202,3756,1435,4377,34.7,33,5265,0.011361345,15244,14506,0.099226891,0.118252101,0.202117647,0.068638655,0.002722689,0.032672269,0.465008403,744,2064,285,$1942,3,3
98501,Olympia,Chelan,Southeast Region,$237609,$355889.03,38133,$6.23,$13879672,39.7,745,2385,2925,3472,1764,1513,1729,1000,16111,306,9403,3431,2117,797,246,111,5234,1773,7550,40.7,38.5,6131,0.00896861,19744,18389,0.051189259,0.014029843,0.055358876,0.038051032,0.001547216,0.003146881,0.827708284,668,1762,1323340,$9266742,296,5
98502,Olympia,Thurston,Southern Olympics,$255659,$353503.31,30491,$8.38,$9191086,38.3,1093,1868,1950,2534,1410,1229,1402,854,12637,230,7300,2913,1525,615,205,71,4167,1302,5553,40,35.9,5279,0.00829753,15622,14869,0.065888295,0.017808534,0.053261618,0.037289692,0.001607032,0.003837198,0.812010101,472,1333,1029978,$6647137,260,3
98503,Lacey,Thurston,Southern Olympics,$381932,$529872.78,36611,$10.43,$21194911,36.1,883,2690,2417,2666,1224,1240,1585,1262,14764,454,8407,3248,1794,828,321,163,5278,2250,6571,38.2,34,5491,0.01035208,19178,17433,0.064789271,0.045041108,0.093605747,0.053153424,0.002267078,0.017808855,0.712982437,687,2015,2244052,$15277299,353,5
98506,Olympia,Thurston,Southern Olympics,$78643,$97349.04,18199,$4.32,$1849632,42.6,342,1127,1312,1554,941,792,880,566,7985,204,4915,1664,884,324,113,81,2965,1155,3384,44.6,40.5,3446,0.010385186,9569,8630,0.036980054,0.015440409,0.055442607,0.037144898,0.00142865,0.003241936,0.83993626,316,839,191768,$1494212,144,1
98512,Olympia,Thurston,Southern Olympics,$77981,$122330.79,28130,$2.77,$4159247,40.5,549,1574,1947,2554,1339,1127,1308,798,11370,214,6454,2554,1531,528,195,105,3734,1117,5781,41.9,39.1,3896,0.009669392,14092,14038,0.032598649,0.015606114,0.051688589,0.03533594,0.001315322,0.003483825,0.850302169,530,1163,387127,$2651362,173,3
98516,Lacey,Thurston,Southern Olympics,$182250,$235586.79,20166,$9.04,$5889670,39.3,288,1276,1371,1535,814,848,1131,592,7914,112,4503,1611,1063,453,161,120,2870,770,4654,40.1,38.6,2156,0.011653278,10384,9782,0.091044332,0.038678965,0.079638996,0.050332242,0.002628186,0.01001686,0.716007141,321,783,637414,$4556259,284,6
98520,Aberdeen,Grays Harbor,Southern Olympics,$147473,$218448.33,23814,$6.19,$6116553,38,448,1214,1287,1698,934,811,1148,630,8500,214,4724,1748,1080,517,246,184,3164,1045,3752,39.3,37.2,3042,0.028302679,10925,12889,0.017720669,0.021206013,0.131939195,0.032375913,0.001385739,0.004283195,0.762786596,566,1140,663915,$4129256,172,4
98524,Allyn,"",Olympics,$35094,$52238.20,3232,$10.86,$1358193,53.5,19,121,159,239,170,147,316,230,1396,44,952,230,123,52,22,17,754,265,883,54.1,52.9,386,0.004641089,1614,1618,0.012376238,0.006188119,0.031559406,0.032178218,0.000928218,0.002165842,0.909962871,45,82,123314,$912438,87,1
98528,Belfair,"",Olympics,$58434,$92298.82,9983,$5.85,$2953562,41.5,93,505,613,850,472,408,533,270,3828,92,2151,792,466,244,96,77,1437,424,2080,41.7,41.3,1196,0.013122308,5007,4976,0.016127417,0.00691175,0.063908645,0.038465391,0.002303917,0.003205449,0.855955124,202,350,265150,$1869884,199,4
98531,Centralia,Lewis,Southern Olympics,$28469,$40413.96,24121,$1.18,$767865,36.7,557,1480,1396,1737,889,806,1160,796,9448,276,5333,1909,1124,619,258,202,3641,1553,4056,39,34.2,3553,0.011773973,12177,11944,0.010322955,0.006384478,0.155093072,0.027818084,0.000663322,0.002238713,0.785705402,575,1264,90659,$540913,67,7
98532,Chehalis,Lewis,Southern Olympics,$129465,$210049.56,23596,$5.49,$6511536,39.4,337,1129,1483,1763,921,876,1281,804,8919,220,4967,1759,1225,550,242,174,3566,1257,4912,40.7,37.9,2629,0.009450754,11757,11839,0.011400237,0.007077471,0.068231904,0.023605696,0.001186642,0.001271402,0.877775894,459,919,728588,$4013429,141,3
98541,Elma,Grays Harbor,Southern Olympics,$101877,$108047.68,10101,$10.09,$4105812,40,142,492,594,876,434,393,552,302,3849,82,2065,822,515,256,106,85,1470,427,1970,40.4,39.7,1201,0.016929017,4983,5118,0.011484011,0.005742006,0.079101079,0.03049203,0.000396,0.001980002,0.853875854,229,449,361542,$3871340,111,1
98550,Hoquiam,Grays Harbor,Southern Olympics,$86957,$129782.34,11382,$7.64,$3893470,40,179,609,685,886,499,476,646,358,4545,108,2552,967,544,277,123,80,1822,629,1939,41.7,38.5,1667,0.033386048,5750,5632,0.010455105,0.005886487,0.082850114,0.031013882,0.001142154,0.00131787,0.833948339,293,646,409643,$2608715,125,3
98569,Ocean Shores,Grays Harbor,Southern Olympics,$37520,$59768.66,5784,$6.49,$2032134,57.1,77,151,233,429,330,450,701,416,2813,66,2053,453,196,65,25,20,1701,518,1393,57.4,56.8,1104,0.019882434,2984,2800,0.017807746,0.008644537,0.032849239,0.0354426,0.001210235,0.001901798,0.882261411,97,219,212292,$1275690,115,1
98577,Raymond,Pacific,Southern Olympics,$7118,$14616.95,6338,$1.12,$526210,44.8,62,298,321,496,309,292,405,256,2566,64,1556,471,269,153,68,49,1161,433,1318,45.4,44.2,880,0.018302304,3140,3198,0.038497949,0.00410224,0.104449353,0.032344588,0.000788892,0,0.801514673,146,222,44014,$256265,31,1
98579,Rochester,"",Southern Olympics,$89968,$141116.51,12870,$6.99,$4233495,39.5,129,650,903,1119,509,490,634,338,4756,58,2442,1028,721,353,127,85,1640,415,2820,39.6,39.5,1192,0.017871018,6393,6477,0.009401709,0.005905206,0.076301476,0.029059829,0.0003108,0.001631702,0.85951826,256,488,432704,$2699049,156,2
98584,Shelton,Mason,Southern Olympics,$146343,$214629.32,36630,$4.00,$6438880,40.8,457,1659,1973,2761,1540,1453,1997,1404,13635,320,7835,2683,1609,841,383,283,5738,2043,6863,43.3,39,4448,0.042506143,17428,19202,0.00969151,0.012776413,0.103385203,0.033142233,0.001173901,0.003985804,0.793338793,830,1494,634249,$4390283,183,5
98586,South Bend,Pacific,Southern Olympics,$28017,$44777.06,1944,$14.41,$1388089,45.6,36,78,113,144,84,92,127,90,814,28,525,126,101,35,17,10,381,151,385,47.6,44.4,304,0.027263374,963,981,0.039609053,0.000514403,0.161522634,0.049897119,0.001028807,0,0.720164609,45,80,137564,$868522,73,1
98589,Tenino,Thurston,Southern Olympics,$25944,$41410.80,7320,$3.54,$1283735,42.4,64,335,495,704,358,278,367,238,2863,36,1591,590,410,158,73,40,1006,312,1612,42.9,41.8,831,0.00942623,3673,3647,0.008469945,0.003961749,0.049453552,0.028278689,0.000819672,0.001639344,0.89795082,145,275,154203,$804278,131,1
98591,Toledo,Lewis,Southern Olympics,,,3952,,,45,42,140,234,331,146,159,291,146,1519,50,861,298,196,102,34,28,680,206,896,45.4,44.6,372,0.018977733,1988,1964,0.004301619,0.003795547,0.047823887,0.02909919,0,0.001265182,0.894736842,86,165,,,,1
98593,Vader,Lewis,Southern Olympics,,,1113,,,44.3,10,31,66,105,44,41,77,46,423,12,222,98,51,32,13,7,187,61,225,45.2,43.3,121,0.016172507,529,584,0.008086253,0,0.04851752,0.063791554,0,0.000898473,0.862533693,25,52,,,,1
98596,Winlock,Lewis,Southern Olympics,,,6524,,,43.1,54,241,388,516,271,287,439,264,2473,44,1371,497,305,168,72,60,1090,322,1409,44.2,42.5,672,0.014255058,3217,3307,0.005058246,0.003218884,0.078786021,0.024371551,0.001379522,0.001226242,0.871704476,143,249,,,,1
98597,Yelm,Thurston,Southern Olympics,,,21557,,,35,293,1388,1640,1703,746,641,861,480,7843,88,3790,1752,1323,605,246,123,2355,694,4265,35.7,34.1,2128,0.01438048,11121,10436,0.019390453,0.017627685,0.078072088,0.046620587,0.001484437,0.004963585,0.817460686,405,1045,,,,1
98604,Battle Ground,Clark,Greater Vancouver,$19249,$39147.38,34232,$0.56,$1409306,34.8,344,1539,2413,2576,1155,1076,1257,706,11155,172,4987,2256,2005,979,466,461,3520,984,7450,35.7,33.9,2175,0.006455948,17225,17007,0.014781491,0.005550362,0.047703903,0.025239542,0.001460622,0.002395419,0.896412713,492,1038,113115,$692976,53,2
98605,Bingen,Klickitat,Greater Vancouver,$43780,$75888.47,1225,$35.74,$3035539,38.9,19,75,84,121,64,41,50,24,486,8,265,105,60,36,13,7,141,41,225,39.3,38.4,189,0.019591837,574,651,0.001632653,0.003265306,0.18122449,0.030204082,0,0.000816327,0.763265306,31,41,210656,$1751202,94,1
98607,Camas,Clark,Greater Vancouver,,,27899,,,38,153,1087,2406,2526,1003,865,979,488,9561,114,4290,1976,2005,820,317,151,2725,684,6396,38.2,37.8,1934,0.005627442,13992,13907,0.063909101,0.010538012,0.039786372,0.031112226,0.002329833,0.002544894,0.84415212,427,804,,,,3
